;;16;深浦町;4 359 ;2 ;4 877 ;12 ;9 236;14;3 892;11;3;"三
戸
郡
 
6";35;三戸町;5 302 ;23 ;5 857 ;34 ;11 159 ;57 ;4 470 ;29 ;24 
;;;小　　　計;9 526 ;6 ;10 804 ;30 ;20 330;36;8 545;23;10;;36;五戸町;8 941 ;11 ;9 633 ;35 ;18 574 ;46 ;6 995 ;9 ;25 
;"中
郡
 
1";17;西目屋村;717 ;0 ;762 ;0 ;1 479;0;557;0;0;;37;田子町;2 972 ;1 ;3 218 ;17 ;6 190 ;18 ;2 223 ;6 ;12 
;;;小　　　計;717 ;0 ;762 ;0 ;1 479;0;557;0;0;;38;南部町;9 408 ;5 ;10 231 ;32 ;19 639 ;37 ;7 466 ;11 ;25 
;"南
津
軽
郡
 
3";18;藤崎町;7 317 ;2 ;8 311 ;12 ;15 628;14;5 804;6;8;;39;階上町;7 057 ;15 ;7 028 ;28 ;14 085 ;43 ;5 747 ;12 ;25 
;;19;大鰐町;4 901 ;1 ;5 726 ;1 ;10 627;2;4 285;1;1;;40;新郷村;1 341 ;1 ;1 436 ;5 ;2 777 ;6 ;941 ;1 ;5 
;;20;田舎館村;3 910 ;4 ;4 267 ;7 ;8 177;11;2 631;2;3;;;小　　　計;35 021 ;56 ;37 403 ;151 ;72 424 ;207 ;27 842 ;68 ;116 
;;;小　　　計;16 128 ;7 ;18 304 ;20 ;34 432;27;12 720;9;12;;;市　計(10);490 649 ;1 175 ;549 309 ;1 942 ;1 039 958 ;3 117 ;458 547 ;1 685 ;934 
;;;;;;;;;;;;;;;町村計(30);150 694 ;226 ;162 631 ;620 ;313 325 ;846 ;124 819 ;395 ;331 
;;;;;;;;;;;;;;;県　計(40);641 343 ;1 401 ;711 940 ;2 562 ;1 353 283 ;3 963 ;583 366 ;2 080 ;1 265 
;;;;;;;;;;;;;;;;;;;;;;;;
;※この表は、前月1日から前月末日までの住民基本台帳人口、世帯数を集計したものです。;;;;;;;;;;;;;;;;;;;;;;;
